novel_author,novel_intro,novel_link,novel_name,novel_status,novel_type
辰东,"
                        在破败中崛起，在寂灭中复苏。沧海成尘，雷电枯竭，那一缕幽雾又一次临近大地，世间的枷锁被打开了，一个全新的世界就此揭开神秘的一角……
                    ",https://book.qidian.com/info/1004608738,圣墟,连载,东方玄幻
我吃西红柿,"
                        番茄继《吞噬星空》《莽荒纪》《雪鹰领主》后的第九本小说。————在这个世界，有狐仙、河神、水怪、大妖，也有求长生的修行者。修行者们，开法眼，可看妖魔鬼怪。炼一口飞剑，可千里杀敌。千里眼、顺风耳，更可探
                    ",https://book.qidian.com/info/1010468795,飞剑问道,连载,古典仙侠
公子許,"
                        穿越是一件很有意思的事儿，但是当房俊穿越到那位浑身冒着绿油油光芒的唐朝同名前辈身上，就感觉生活全都不好了……
                    ",https://book.qidian.com/info/1004588586,天唐锦绣,连载,两晋隋唐
猪三不,"
                        一夜之间，少年叶真突然发现自己拥有了一项奇异的能力！山间虫兽那无意义的叫声，传入他耳中，就变得不太一样。老鼠兄弟吱吱的叫着：兄弟，后山里能让我们体型增长数十倍的宝贝快滴落了，快走！一群蚊子在叽叽喳喳：
                    ",https://book.qidian.com/info/3200489,造化之王,连载,东方玄幻
钢枪里的温柔,"
                        遭遇人生低谷的夏若飞意外发现祖传画卷中竟内含乾坤，自带一方独立的小空间。空间里有促进植物生长的灵潭水，有医治百病的神秘灵花，还自带十倍时间流速，栽什么都是精品，种什么都长得飞快，养什么都能通灵性……从
                    ",https://book.qidian.com/info/1003598711,神级农场,连载,都市生活
圣骑士的传说,"
                        某天，宋书航意外加入了一个仙侠中二病资深患者的交流群，里面的群友们都以‘道友’相称，群名片都是各种府主、洞主、真人、天师。连群主走失的宠物犬都称为大妖犬离家出走。整天聊的是炼丹、闯秘境、炼功经验啥的。
                    ",https://book.qidian.com/info/3602691,修真聊天群,连载,都市异能
卧牛真人,"
                        “倘若这宇宙，真是一片残酷血腥的黑暗森林，我们修真者，也会燃烧自己的生命，绽放出微弱的火花！”“哪怕这火花再微弱，再短暂，再渺小，可是只要我们源源不断，前赴后继，终有一日，火花会点燃杂草，杂草会燎到灌
                    ",https://book.qidian.com/info/3439785,修真四万年,完结,未来世界
奥尔良烤鲟鱼堡,"
                        程燃重生在这个熟悉又陌生的世界……程程皆燃。官方qq群：263685930（已满）二群：769607127
                    ",https://book.qidian.com/info/1010245952,重燃,连载,都市生活
轻语江湖,"
                        诺兰大陆的混乱之城中，有着一家奇怪的餐厅。在这里，精灵要和矮人拼桌，兽人被严禁喧哗，巨龙只能围坐在餐厅前的小广场上，恶魔甚至需要自己带特制的凳子……但就是这么一家规矩奇葩的餐厅，门口却每天都排着长队。
                    ",https://book.qidian.com/info/1010815544,奶爸的异界餐厅,连载,原生幻想
猫腻,"
                        千里杀一人，十步不愿行。（大道朝天官方一群，群号码：311875513，大道朝天官方二群，群号码：220593959，欢迎加入）
                    ",https://book.qidian.com/info/1010496369,大道朝天,连载,东方玄幻
妖夜,"
                        身怀绝世血脉，少年自北漠拉棺而来，他要将世上神魔全部埋葬。
                    ",https://book.qidian.com/info/1003121988,不灭龙帝,连载,异世大陆
宅猪,"
                        大墟的祖训说，天黑，别出门。大墟残老村的老弱病残们从江边捡到了一个婴儿，取名秦牧，含辛茹苦将他养大。这一天夜幕降临，黑暗笼罩大墟，秦牧走出了家门……做个春风中荡漾的反派吧！瞎子对他说。秦牧的反派之路，
                    ",https://book.qidian.com/info/1009704712,牧神记,连载,东方玄幻
孑与2,"
                        我们接受了祖先的遗产，这让中华辉煌了数千年，我们是如此的心安理得，从未想过要回归那个在刀耕火种中苦苦寻找出路的时代。反哺我们苦难的祖先，并从中找到故乡的真正意义，将是本书要讲的故事。张佳宁、王天辰主演
                    ",https://book.qidian.com/info/1010136878,汉乡,连载,架空历史
朱郎才尽,"
                        这是一个就业路上屡被蹂躏的古汉语专业研究生，回到了明朝中叶，进入了山村一家幼童身体后的故事。木讷父亲泼辣娘，一水的极品亲戚，农家小院是非不少。好在，咱有几千年的历史积淀，四书五经八股文，专业也对口，谁
                    ",https://book.qidian.com/info/3483546,寒门崛起,连载,两宋元明
纯洁滴小龙,"
                        一家只在深夜开门营业的书屋，欢迎您的光临。——————【该作品简体版已出版，出版社天津人民出版社】——《vip全订书友群》：557560752（进群粉丝值验证）《读书群》：523978007（无需验证
                    ",https://book.qidian.com/info/1011335417,深夜书屋,完结,诡秘悬疑
横扫天涯,"
                        【2017最火玄幻作品，海外点推双榜第一】张悬穿越异界，成了一名光荣的教师，脑海中多出了一个神秘的图书馆。只要他看过的东西，无论人还是物，都能自动形成书籍，记录下对方各种各样的缺点，于是，他牛大了！教
                    ",https://book.qidian.com/info/1004179514,天道图书馆,连载,异世大陆
会说话的肘子,"
                        高中生吕树在一场车祸中改变人生，当灵气复苏时代来袭，他要做这时代的领跑者。物竞天择，胜者为王。……全订验证群号：696087569
                    ",https://book.qidian.com/info/1010191960,大王饶命,完结,都市生活
人间武库,"
                        时光是一艘航船，有人喜欢把90年代初的那几年，视为曾经那个纯真年代的最后一程。岁月更迭中早已不再单纯的江澈，逆流归来，重启1992,书写一场终于可以被妥善安放的璀璨青春。【欢迎加入逆流纯真年代VIP二
                    ",https://book.qidian.com/info/1009398284,逆流纯真年代,完结,都市生活
跃千愁,"
                        一个地球神级盗墓宗师，闯入修真界的故事……桃花源里，有歌声。山外青山，白骨山。五花马，千金裘，倚天剑。应我多情，啾啾鬼鸣，美人薄嗔。天地无垠，谁家旗鼓，碧落黄泉，万古高楼。为义气争雄！为乱世争霸！你好
                    ",https://book.qidian.com/info/1005236478,道君,完结,幻想修仙
磨砚少年,"
                        “中国人，在橄榄球的圈子里绝对不可能取得成功！”“你柔弱得就好像小鹿斑比，根本无法形成对抗！”“你有头脑、有智慧，但缺乏天赋。”陆恪：但，我有系统。手持系统，我要站上巅峰舞台，建立属于我的王朝！书友群
                    ",https://book.qidian.com/info/1010565736,湾区之王,连载,体育赛事
第七重奏01,"
                        百族亲王的奇幻暗黑大陆战（jie）斗(cao)毁灭史。
                    ",https://book.qidian.com/info/1040809,暗黑破坏神之毁灭,连载,游戏异界
牧狐,"
                        巫师的地位，在各大陆与泛位面中，超然无上。神秘、智慧、残忍、血腥，俨然是巫师的代名词。但真实的巫师又是什么样的？安格尔在接触巫师世界后，得出一个结论：巫师，是一种用唯心思想明照自我，却用唯物的态度辩证
                    ",https://book.qidian.com/info/1004150862,超维术士,连载,异世大陆
耳根,"
                        一念成沧海，一念化桑田。一念斩千魔，一念诛万仙。唯我念……永恒这是耳根继《仙逆》《求魔》《我欲封天》后，创作的第四部长篇小说《一念永恒》
                    ",https://book.qidian.com/info/1003354631,一念永恒,连载,幻想修仙
净无痕,"
                        东方神州，有人皇立道统，有圣贤宗门传道，有诸侯雄踞一方王国，诸强林立，神州动乱千万载，值此之时，一代天骄叶青帝及东凰大帝横空出世，东方神州一统！然，叶青帝忽然暴毙，世间雕像尽皆被毁，于世间除名，沦为禁
                    ",https://book.qidian.com/info/1011058239,伏天氏,连载,东方玄幻
竹刺无锋,"
                        这是一个由石炭纪的巨虫、侏罗纪的恐龙、古近纪的凶兽交织共存的，凶残度爆表的史前世界。在这片恢弘瑰丽的史前世界中，人类不再位于食物链顶端，反而在各种猛兽凶虫的夹缝里艰难求存……原始社会种田加冒险文
                    ",https://book.qidian.com/info/1010541675,厉害了我的原始人,连载,东方玄幻
永恒之火,"
                        这是一个读书人掌握天地之力的世界。才气在身，诗可杀敌，词能灭军，文章安天下。秀才提笔，纸上谈兵；举人杀敌，出口成章；进士一怒，唇枪舌剑。圣人驾临，口诛笔伐，可诛人，可判天子无道，以一敌国。此时，圣院把
                    ",https://book.qidian.com/info/3173393,儒道至圣,连载,东方玄幻
百里玺,"
                        此生尘缘早已尽，我本尘世一仙凡。起于微末傲红尘，修得《蜉蝣》忘江湖。-----PS：大概就是，仙侠和种田结合。一名少年无意打开灵台，识海发现方寸灵山。从此种仙稻，养灵药，开洞府，开辟一片桃源仙境，踏上
                    ",https://book.qidian.com/info/1010259609,我是仙凡,连载,幻想修仙
不是浮云,"
                        有没想过在武侠游戏里用魔法，西幻游戏里用武功，石器游戏里开歼星舰？《家园》是一款囊括一切的游戏，玩家可从家园进入一个个不同的游戏，体验不同游戏的同时，从中获得各种稀有道具和技能，通过家园带到别的游戏内
                    ",https://book.qidian.com/info/1010044301,我的身体有bug,连载,虚拟网游
忘语,"
                        凡人修仙，风云再起时空穿梭，轮回逆转金仙太乙，大罗道祖三千大道，法则至尊《凡人修仙传》仙界篇，一个韩立叱咤仙界的故事，一个凡人小子修仙的不灭传说。特说明下，没有看过前传的书友，并不影响本书的阅读体验，
                    ",https://book.qidian.com/info/1010734492,凡人修仙之仙界篇,连载,神话修真
争斤论两花花帽,"
                        一觉醒来，回到那个年代，再次面对过往，你猜不透的结局..........
                    ",https://book.qidian.com/info/1003541158,我的1979,完结,都市生活
阴天神隐,"
                        新书《怪物被杀就会死》已发布，大家可以去看看。========这是前传奇战士携带系统穿越游戏异界，吊打各路野怪，单手怼Boss，平A救世界的故事。“先砍死敌人，再去思考为什么会打起来。”====订阅书
                    ",https://book.qidian.com/info/1003529357,燃钢之魂,完结,游戏异界
如水意,"
                        作为一个普通人却要向间谍宣战，最好的办法是同样成为一个间谍。作为一个间谍，要向一个实力强大的间谍组织开战，那就加入一个同样强大的间谍组织。如果无法加入任何一个强大的间谍组织，那就自己建立起一个间谍组织
                    ",https://book.qidian.com/info/1010539872,间谍的战争,完结,谍战特工
